[2022-04-17 00:28:03,024 |   INFO   | twitter_profile_scraper] rachelryle
[2022-04-17 00:28:04,030 |   INFO   | twitter_profile_scraper] rachelryle | VALID
[2022-04-17 00:28:04,113 |   INFO   | twitter_profile_scraper] rachelryle | 24.2K followers
[2022-04-17 00:28:04,114 |   INFO   | twitter_profile_scraper] _truffle_13
[2022-04-17 00:28:05,055 |   INFO   | twitter_profile_scraper] _truffle_13 | VALID
[2022-04-17 00:28:05,137 |   INFO   | twitter_profile_scraper] _truffle_13 | 23 followers
[2022-04-17 00:28:05,138 |   INFO   | twitter_profile_scraper] rendergene
[2022-04-17 00:28:06,118 |   INFO   | twitter_profile_scraper] rendergene | VALID
[2022-04-17 00:28:06,199 |   INFO   | twitter_profile_scraper] rendergene | 210 followers
[2022-04-17 00:28:06,219 |   INFO   | twitter_profile_scraper] tokinkev
[2022-04-17 00:28:07,215 |   INFO   | twitter_profile_scraper] tokinkev | VALID
[2022-04-17 00:28:07,301 |   INFO   | twitter_profile_scraper] tokinkev | 2,669 followers
[2022-04-17 00:28:07,302 |   INFO   | twitter_profile_scraper] 44tl44s
[2022-04-17 00:28:08,317 |   INFO   | twitter_profile_scraper] 44tl44s | VALID
[2022-04-17 00:28:08,425 |   INFO   | twitter_profile_scraper] 44tl44s | 60 followers
[2022-04-17 00:28:08,426 |   INFO   | twitter_profile_scraper] cryptolawguy
[2022-04-17 00:28:09,585 |   INFO   | twitter_profile_scraper] cryptolawguy | VALID
[2022-04-17 00:28:09,712 |   INFO   | twitter_profile_scraper] cryptolawguy | 9 followers
[2022-04-17 00:28:09,713 |   INFO   | twitter_profile_scraper] its_benji1
[2022-04-17 00:28:10,895 |   INFO   | twitter_profile_scraper] its_benji1 | VALID
[2022-04-17 00:28:11,027 |   INFO   | twitter_profile_scraper] its_benji1 | 192 followers
[2022-04-17 00:28:11,027 |   INFO   | twitter_profile_scraper] heraldddd_eth
[2022-04-17 00:28:12,159 |   INFO   | twitter_profile_scraper] heraldddd_eth | VALID
[2022-04-17 00:28:12,239 |   INFO   | twitter_profile_scraper] heraldddd_eth | 481 followers
[2022-04-17 00:28:12,239 |   INFO   | twitter_profile_scraper] riven_ayo
[2022-04-17 00:28:13,699 | WARNING  | twitter_profile_scraper] Timeout finding the follow button for riven_ayo
[2022-04-17 00:28:13,712 |   INFO   | twitter_profile_scraper] riven_ayo | ERROR
[2022-04-17 00:28:13,713 |   INFO   | twitter_profile_scraper] elixirown
[2022-04-17 00:28:14,676 |   INFO   | twitter_profile_scraper] elixirown | VALID
[2022-04-17 00:28:14,756 |   INFO   | twitter_profile_scraper] elixirown | 499 followers
[2022-04-17 00:28:14,756 |   INFO   | twitter_profile_scraper] realjohnmonarch
[2022-04-17 00:28:15,800 |   INFO   | twitter_profile_scraper] realjohnmonarch | VALID
[2022-04-17 00:28:15,880 |   INFO   | twitter_profile_scraper] realjohnmonarch | 13.1K followers
[2022-04-17 00:28:15,880 |   INFO   | twitter_profile_scraper] projecthorizone
[2022-04-17 00:28:16,858 |   INFO   | twitter_profile_scraper] projecthorizone | VALID
[2022-04-17 00:28:16,934 |   INFO   | twitter_profile_scraper] projecthorizone | 22 followers
[2022-04-17 00:28:16,934 |   INFO   | twitter_profile_scraper] littleleftyy
[2022-04-17 00:28:17,867 |   INFO   | twitter_profile_scraper] littleleftyy | VALID
[2022-04-17 00:28:17,948 |   INFO   | twitter_profile_scraper] littleleftyy | 9,714 followers
[2022-04-17 00:28:17,949 |   INFO   | twitter_profile_scraper] gants5936
[2022-04-17 00:28:18,897 |   INFO   | twitter_profile_scraper] gants5936 | VALID
[2022-04-17 00:28:18,978 |   INFO   | twitter_profile_scraper] gants5936 | 21 followers
[2022-04-17 00:28:18,995 |   INFO   | twitter_profile_scraper] nuffsaid_eth
[2022-04-17 00:28:20,051 |   INFO   | twitter_profile_scraper] nuffsaid_eth | VALID
[2022-04-17 00:28:20,128 |   INFO   | twitter_profile_scraper] nuffsaid_eth | 798 followers
[2022-04-17 00:28:20,129 |   INFO   | twitter_profile_scraper] virgolove1111
[2022-04-17 00:28:21,103 |   INFO   | twitter_profile_scraper] virgolove1111 | VALID
[2022-04-17 00:28:21,185 |   INFO   | twitter_profile_scraper] virgolove1111 | 4 followers
[2022-04-17 00:28:21,185 |   INFO   | twitter_profile_scraper] spqrist
[2022-04-17 00:28:22,124 |   INFO   | twitter_profile_scraper] spqrist | VALID
[2022-04-17 00:28:22,202 |   INFO   | twitter_profile_scraper] spqrist | 1,707 followers
[2022-04-17 00:28:22,202 |   INFO   | twitter_profile_scraper] ogsudz
[2022-04-17 00:28:23,158 |   INFO   | twitter_profile_scraper] ogsudz | VALID
[2022-04-17 00:28:23,252 |   INFO   | twitter_profile_scraper] ogsudz | 390 followers
[2022-04-17 00:28:23,253 |   INFO   | twitter_profile_scraper] sqonsor
[2022-04-17 00:28:24,255 |   INFO   | twitter_profile_scraper] sqonsor | VALID
[2022-04-17 00:28:24,348 |   INFO   | twitter_profile_scraper] sqonsor | 178 followers
[2022-04-17 00:28:24,348 |   INFO   | twitter_profile_scraper] malibud_gaming
[2022-04-17 00:28:25,871 | WARNING  | twitter_profile_scraper] Timeout finding the follow button for malibud_gaming
[2022-04-17 00:28:25,881 |   INFO   | twitter_profile_scraper] malibud_gaming | ERROR
[2022-04-17 00:28:25,881 |   INFO   | twitter_profile_scraper] nfttopdog
[2022-04-17 00:28:26,860 |   INFO   | twitter_profile_scraper] nfttopdog | VALID
[2022-04-17 00:28:26,950 |   INFO   | twitter_profile_scraper] nfttopdog | 5 followers
[2022-04-17 00:28:26,950 |   INFO   | twitter_profile_scraper] therealmalhaarv
[2022-04-17 00:28:28,449 | WARNING  | twitter_profile_scraper] Timeout finding the follow button for therealmalhaarv
[2022-04-17 00:28:28,459 |   INFO   | twitter_profile_scraper] therealmalhaarv | ERROR
[2022-04-17 00:28:28,460 |   INFO   | twitter_profile_scraper] laglieee
[2022-04-17 00:28:29,440 |   INFO   | twitter_profile_scraper] laglieee | VALID
[2022-04-17 00:28:29,523 |   INFO   | twitter_profile_scraper] laglieee | 63 followers
[2022-04-17 00:28:29,524 |   INFO   | twitter_profile_scraper] cryptograhamyt
[2022-04-17 00:28:30,531 |   INFO   | twitter_profile_scraper] cryptograhamyt | VALID
[2022-04-17 00:28:30,613 |   INFO   | twitter_profile_scraper] cryptograhamyt | 159 followers
[2022-04-17 00:28:30,614 |   INFO   | twitter_profile_scraper] pengepuljpeg
[2022-04-17 00:28:31,642 |   INFO   | twitter_profile_scraper] pengepuljpeg | VALID
[2022-04-17 00:28:31,730 |   INFO   | twitter_profile_scraper] pengepuljpeg | 76 followers
[2022-04-17 00:28:31,731 |   INFO   | twitter_profile_scraper] sergpatriot
[2022-04-17 00:28:33,207 | WARNING  | twitter_profile_scraper] Timeout finding the follow button for sergpatriot
[2022-04-17 00:28:33,217 |   INFO   | twitter_profile_scraper] sergpatriot | ERROR
[2022-04-17 00:28:33,217 |   INFO   | twitter_profile_scraper] orbondonovan
[2022-04-17 00:28:34,688 | WARNING  | twitter_profile_scraper] Timeout finding the follow button for orbondonovan
[2022-04-17 00:28:34,697 |   INFO   | twitter_profile_scraper] orbondonovan | ERROR
[2022-04-17 00:28:34,698 |   INFO   | twitter_profile_scraper] apeliquidio
[2022-04-17 00:28:35,662 |   INFO   | twitter_profile_scraper] apeliquidio | VALID
[2022-04-17 00:28:35,750 |   INFO   | twitter_profile_scraper] apeliquidio | 4,898 followers
[2022-04-17 00:28:35,750 |   INFO   | twitter_profile_scraper] helloznft
[2022-04-17 00:28:36,823 |   INFO   | twitter_profile_scraper] helloznft | VALID
[2022-04-17 00:28:36,920 |   INFO   | twitter_profile_scraper] helloznft | 83 followers
[2022-04-17 00:28:36,921 |   INFO   | twitter_profile_scraper] cyberraja
[2022-04-17 00:28:37,907 |   INFO   | twitter_profile_scraper] cyberraja | VALID
[2022-04-17 00:28:37,993 |   INFO   | twitter_profile_scraper] cyberraja | 395 followers
[2022-04-17 00:28:37,993 |   INFO   | twitter_profile_scraper] leondumont
[2022-04-17 00:28:38,983 |   INFO   | twitter_profile_scraper] leondumont | VALID
[2022-04-17 00:28:39,073 |   INFO   | twitter_profile_scraper] leondumont | 10 followers
[2022-04-17 00:28:39,074 |   INFO   | twitter_profile_scraper] marikaauditore
[2022-04-17 00:28:40,610 | WARNING  | twitter_profile_scraper] Timeout finding the follow button for marikaauditore
[2022-04-17 00:28:40,625 |   INFO   | twitter_profile_scraper] marikaauditore | ERROR
[2022-04-17 00:28:40,625 |   INFO   | twitter_profile_scraper] allisparrow
[2022-04-17 00:28:41,596 |   INFO   | twitter_profile_scraper] allisparrow | VALID
[2022-04-17 00:28:41,680 |   INFO   | twitter_profile_scraper] allisparrow | 91 followers
[2022-04-17 00:28:41,681 |   INFO   | twitter_profile_scraper] voodooowi
[2022-04-17 00:28:42,653 |   INFO   | twitter_profile_scraper] voodooowi | VALID
[2022-04-17 00:28:42,737 |   INFO   | twitter_profile_scraper] voodooowi | 240 followers
[2022-04-17 00:28:42,737 |   INFO   | twitter_profile_scraper] nftsilvur
[2022-04-17 00:28:43,724 |   INFO   | twitter_profile_scraper] nftsilvur | VALID
[2022-04-17 00:28:43,812 |   INFO   | twitter_profile_scraper] nftsilvur | 127 followers
[2022-04-17 00:28:43,812 |   INFO   | twitter_profile_scraper] greekfire66
[2022-04-17 00:28:44,844 |   INFO   | twitter_profile_scraper] greekfire66 | VALID
[2022-04-17 00:28:44,933 |   INFO   | twitter_profile_scraper] greekfire66 | 33 followers
[2022-04-17 00:28:44,933 |   INFO   | twitter_profile_scraper] tsnkrs2
[2022-04-17 00:28:45,906 |   INFO   | twitter_profile_scraper] tsnkrs2 | VALID
[2022-04-17 00:28:45,994 |   INFO   | twitter_profile_scraper] tsnkrs2 | 54 followers
[2022-04-17 00:28:45,994 |   INFO   | twitter_profile_scraper] irena_nl
[2022-04-17 00:28:46,958 |   INFO   | twitter_profile_scraper] irena_nl | VALID
[2022-04-17 00:28:47,046 |   INFO   | twitter_profile_scraper] irena_nl | 93 followers
[2022-04-17 00:28:47,047 |   INFO   | twitter_profile_scraper] exitliquidity1
[2022-04-17 00:28:48,013 |   INFO   | twitter_profile_scraper] exitliquidity1 | VALID
[2022-04-17 00:28:48,180 |   INFO   | twitter_profile_scraper] exitliquidity1 | 7,408 followers
[2022-04-17 00:28:48,180 |   INFO   | twitter_profile_scraper] p1onur
[2022-04-17 00:28:49,168 |   INFO   | twitter_profile_scraper] p1onur | VALID
[2022-04-17 00:28:49,264 |   INFO   | twitter_profile_scraper] p1onur | 29 followers
[2022-04-17 00:28:49,264 |   INFO   | twitter_profile_scraper] dhavok561
[2022-04-17 00:28:50,265 |   INFO   | twitter_profile_scraper] dhavok561 | VALID
[2022-04-17 00:28:50,353 |   INFO   | twitter_profile_scraper] dhavok561 | 1,124 followers
[2022-04-17 00:28:50,353 |   INFO   | twitter_profile_scraper] be_e4zy
[2022-04-17 00:28:51,403 |   INFO   | twitter_profile_scraper] be_e4zy | VALID
[2022-04-17 00:28:51,490 |   INFO   | twitter_profile_scraper] be_e4zy | 20 followers
[2022-04-17 00:28:51,500 |   INFO   | twitter_profile_scraper] kryptomanie
[2022-04-17 00:28:52,508 |   INFO   | twitter_profile_scraper] kryptomanie | VALID
[2022-04-17 00:28:52,597 |   INFO   | twitter_profile_scraper] kryptomanie | 782 followers
[2022-04-17 00:28:52,598 |   INFO   | twitter_profile_scraper] otto_garza7
[2022-04-17 00:28:53,582 |   INFO   | twitter_profile_scraper] otto_garza7 | VALID
[2022-04-17 00:28:53,667 |   INFO   | twitter_profile_scraper] otto_garza7 | 587 followers
[2022-04-17 00:28:53,667 |   INFO   | twitter_profile_scraper] pnoj18
[2022-04-17 00:28:54,615 |   INFO   | twitter_profile_scraper] pnoj18 | VALID
[2022-04-17 00:28:54,700 |   INFO   | twitter_profile_scraper] pnoj18 | 73 followers
[2022-04-17 00:28:54,700 |   INFO   | twitter_profile_scraper] scraptrades
[2022-04-17 00:28:55,724 |   INFO   | twitter_profile_scraper] scraptrades | VALID
[2022-04-17 00:28:55,810 |   INFO   | twitter_profile_scraper] scraptrades | 1,979 followers
[2022-04-17 00:28:55,810 |   INFO   | twitter_profile_scraper] skullwithbeard
[2022-04-17 00:28:56,798 |   INFO   | twitter_profile_scraper] skullwithbeard | VALID
[2022-04-17 00:28:56,886 |   INFO   | twitter_profile_scraper] skullwithbeard | 1,243 followers
[2022-04-17 00:28:56,887 |   INFO   | twitter_profile_scraper] ccnft
[2022-04-17 00:28:58,389 | WARNING  | twitter_profile_scraper] Timeout finding the follow button for ccnft
[2022-04-17 00:28:58,403 |   INFO   | twitter_profile_scraper] ccnft | ERROR
[2022-04-17 00:28:58,404 |   INFO   | twitter_profile_scraper] n_gumba
[2022-04-17 00:28:59,891 | WARNING  | twitter_profile_scraper] Timeout finding the follow button for n_gumba
[2022-04-17 00:28:59,902 |   INFO   | twitter_profile_scraper] n_gumba | ERROR
[2022-04-17 00:28:59,902 |   INFO   | twitter_profile_scraper] inspiredlbc
